A,B,C
370,65,179
171,362,957
319,600,680
263,731,177
804,755,426
11,164,903
787,546,355
774,219,696
866,700,111
119,927,238
564,459,865
49,350,500
249,986,773
514,210,994
401,449,515
171,731,569
552,118,925
99,149,371
688,264,304
426,710,588
874,724,976
958,853,246
709,401,961
600,622,122
704,86,786
663,325,948
970,830,579
66,298,704
361,478,468
208,868,652
737,679,903
345,866,542
59,562,698
87,194,776
647,814,750
658,264,631
255,471,751
716,109,349
471,158,228
3,983,358
741,917,165
478,118,413
671,661,921
901,641,96
509,566,360
349,490,303
81,976,980
287,257,71
780,89,882
492,993,978
414,224,458
875,254,486
961,547,387
192,772,49
141,321,783
781,676,79
242,941,868
775,174,294
269,468,314
773,895,543
425,529,643
845,767,159
404,580,462
495,60,34
986,44,949
873,688,871
100,784,545
931,875,705
423,167,968
605,849,632
363,992,324
30,51,994
348,475,52
302,42,770
8,587,159
901,485,864
241,557,753
123,96,963
520,511,620
252,223,784
207,270,797
415,825,762
592,165,90
174,691,673
116,300,358
200,833,489
392,41,249
52,939,821
797,143,750
886,115,488
282,791,657
655,745,452
833,416,505
482,311,135
691,904,781
877,546,238
248,729,979
290,188,470
341,50,457
920,126,826
252,463,763
105,199,589
935,160,146
270,446,799
308,691,147
532,903,271
486,881,787
991,192,256
652,239,126
228,705,174
712,704,576
161,904,636
565,985,640
376,858,536
223,511,51
26,671,796
782,380,673
764,585,352
349,185,373
135,175,777
780,65,483
488,258,930
709,615,347
385,596,63
591,232,388
112,996,854
48,210,806
488,623,907
420,154,161
745,75,508
354,68,330
960,85,282
831,216,740
134,313,302
697,808,471
850,628,595
520,610,933
644,98,589
846,114,566
853,623,2
277,146,216
842,693,333
232,127,710
235,527,165
19,169,296
280,555,604
317,414,341
102,505,970
179,880,772
908,667,748
474,873,895
297,179,710
872,30,735
669,653,496
922,43,758
432,497,541
694,645,990
601,289,722
666,110,760
415,809,754
758,818,681
568,984,268
169,758,323
47,233,388
476,507,601
752,448,261
23,968,318
739,691,497
682,757,952
94,970,626
816,567,147
926,234,375
910,183,527
616,46,244
972,778,293
359,184,312
761,706,942
580,438,548
386,800,808
679,921,181
369,974,592
882,960,117
483,571,687
959,794,783
590,273,962
479,859,582
929,772,516
995,282,57
949,77,113
431,632,687
253,456,338
189,440,231
11,909,595
42,874,821
757,322,172
379,816,946
537,534,418
926,571,862
363,152,53
884,915,181
329,368,13
87,765,787
66,403,973
242,559,784
972,54,4
433,691,832
388,405,288
150,628,937
871,508,926
465,226,166
626,196,607
489,370,461
404,767,3
527,986,999
471,690,870
431,681,299
203,52,564
325,833,824
401,399,635
643,844,982
485,451,903
919,241,440
542,897,172
411,321,399
462,45,835
839,426,396
635,211,808
635,273,362
870,572,716
144,404,978
313,467,954
964,706,959
690,897,620
813,358,152
220,652,973
127,482,650
683,964,660
914,317,151
475,288,577
559,676,107
792,938,101
270,786,845
485,719,808
379,343,824
471,372,600
602,536,98
228,64,806
513,404,504
973,882,635
627,613,903
560,169,788
86,981,201
475,837,269
139,850,286
913,473,599
443,465,64
648,450,343
488,290,774
624,598,371
711,597,578
956,283,298
899,832,329
229,586,512
114,823,125
319,799,334
616,982,951
192,159,296
408,133,929
967,822,861
567,954,317
191,131,549
71,844,926
53,595,277
387,92,1
551,844,750
354,266,110
62,4,612
255,933,307
831,487,522
773,138,315
254,63,510
738,271,988
415,923,85
998,917,881
368,843,996
563,624,98
267,279,327
598,239,901
710,3,125
701,934,959
105,320,204
425,731,782
442,897,363
921,22,2
937,694,358
28,517,274
308,644,605
698,849,312
869,760,80
655,42,827
126,586,677
267,555,314
505,575,878
346,796,922
705,6,223
397,336,243
125,37,351
924,738,110
524,345,132
718,482,959
665,779,715
774,189,607
971,917,112
413,662,945
491,289,748
482,444,648
804,128,380
228,468,339
265,700,751
574,671,894
566,647,217
392,641,724
550,515,611
774,708,957
556,600,560
537,669,434
408,42,776
341,692,31
723,273,638
256,68,578
573,94,801
177,885,537
60,272,79
971,694,446
501,810,505
167,774,608
28,415,930
27,491,69
662,323,17
977,163,276
110,299,364
306,802,346
479,827,853
979,54,203
906,356,699
84,550,700
175,832,952
924,447,297
895,62,557
184,209,308
917,553,539
795,128,205
146,27,85
530,685,540
344,672,69
653,945,281
857,229,426
605,213,476
38,718,42
50,356,164
82,784,275
5,290,528
530,639,843
987,46,979
711,164,501
750,983,799
884,810,436
568,602,498
829,991,449
725,656,355
785,158,674
774,678,291
932,930,15
923,499,428
38,300,316
284,169,102
755,559,758
251,218,551
660,894,481
794,631,45
735,859,361
459,57,366
121,331,400
143,687,572
116,297,390
42,490,681
144,740,536
584,845,19
218,104,665
537,434,261
419,885,721
276,707,424
852,62,331
485,114,133
729,219,246
261,749,318
735,563,135
952,44,751
676,696,99
340,188,771
954,218,534
110,197,608
12,784,716
939,560,552
800,255,429
694,292,901
184,825,597
811,311,197
896,668,762
322,321,223
442,905,482
291,989,300
94,920,334
801,241,163
410,301,413
345,87,120
668,140,349
352,430,964
147,637,275
340,511,944
789,817,785
783,640,291
194,699,820
841,333,107
619,547,206
594,275,865
206,39,961
67,911,681
958,861,471
762,699,26
515,657,545
97,483,633
236,810,745
809,271,935
502,839,735
734,565,926
869,410,535
995,259,989
148,465,263
437,998,587
350,790,81
441,954,120
967,683,447
758,488,848
2,179,112
277,985,889
807,170,269
870,291,237
715,258,424
538,268,475
727,475,871
936,303,315
992,213,23
65,510,698
378,264,103
219,11,835
696,959,101
646,827,758
461,986,264
501,480,499
656,860,325
142,734,153
311,372,132
561,162,609
781,875,788
642,248,460
353,687,783
660,520,905
513,224,575
659,656,612
325,103,394
440,583,828
507,367,584
215,716,238
698,563,929
981,53,568
79,323,508
909,903,799
470,425,383
295,258,102
398,44,948
734,167,366
705,126,663
932,660,695
79,971,990
517,759,854
96,181,333
948,260,136
234,407,240
519,853,256
375,845,370
565,98,931
718,674,274
304,380,934
914,474,372
365,359,750
717,381,218
912,618,897
275,2,883
971,973,107
130,5,311
118,139,52
220,85,415
276,125,309
677,97,497
203,836,103
487,676,908
722,90,649
643,273,897
758,30,8
256,50,990
899,984,957
275,662,204
989,786,512
705,965,283
373,49,991
662,383,432
567,346,557
317,123,586
76,330,817
555,772,738
903,204,104
294,42,239
221,954,957
235,149,859
47,470,684
543,960,746
147,784,155
692,491,884
847,341,577
144,962,268
559,780,418
387,938,529
406,855,241
676,184,925
280,161,891
300,802,545
994,792,945
610,187,376
971,721,876
164,496,530
266,49,639
696,156,996
191,719,290
421,51,184
111,483,514
61,140,239
573,236,224
65,328,756
200,976,35
752,657,375
161,518,591
200,447,792
513,726,190
671,426,317
618,973,819
354,969,151
714,637,253
182,462,934
584,379,766
3,145,112
515,615,353
42,615,384
518,651,259
142,413,854
243,328,327
699,697,688
884,583,890
106,388,908
709,698,900
925,230,682
819,602,906
467,811,640
17,741,489
436,623,245
240,854,900
96,391,891
383,459,481
137,336,143
643,633,208
631,707,295
364,774,12
92,284,912
788,453,534
525,806,166
127,513,481
981,919,367
619,383,397
501,557,637
424,976,391
531,179,180
870,72,697
965,994,578
993,574,281
452,273,17
57,676,353
942,701,686
340,386,768
933,280,940
714,788,527
711,106,543
446,319,349
162,999,746
591,149,987
293,22,665
947,725,622
855,278,247
188,489,845
171,225,469
179,903,37
366,709,487
820,837,611
413,715,947
605,15,684
987,399,669
245,887,362
945,580,799
133,717,98
400,560,654
61,904,370
318,818,8
924,637,647
39,547,326
560,716,648
118,382,987
388,395,945
631,443,94
930,165,490
196,750,543
990,250,383
607,362,450
113,583,335
144,611,899
221,524,703
969,162,360
525,435,715
86,490,651
781,67,403
468,453,971
101,828,385
259,365,710
592,219,160
528,28,683
529,337,527
213,738,576
378,277,83
221,795,412
398,393,487
987,493,276
706,825,920
784,554,21
368,53,256
324,106,838
229,977,30
328,837,179
377,318,391
853,101,234
509,495,345
79,335,173
921,568,420
492,115,955
134,853,193
670,540,312
762,713,850
495,650,947
159,658,965
476,567,617
104,696,129
59,482,859
414,476,990
428,766,851
636,655,582
209,874,542
164,575,978
578,646,341
448,364,38
346,510,613
748,804,368
160,260,939
138,861,355
607,968,554
503,71,484
723,675,69
331,717,175
519,179,718
429,238,388
460,187,528
203,829,439
810,235,643
558,256,570
27,206,388
90,5,485
351,747,629
752,575,898
326,700,377
681,102,319
842,500,434
847,874,925
683,244,345
493,805,508
178,583,526
837,585,237
720,553,73
957,381,804
636,583,895
864,258,904
534,436,818
307,927,995
851,741,80
718,701,247
815,934,549
434,302,686
823,616,279
927,11,841
969,62,374
716,583,496
230,647,94
412,418,634
287,86,518
196,601,202
45,965,348
514,51,596
347,827,98
484,448,353
634,834,682
468,891,675
549,396,700
433,106,234
188,763,438
493,199,705
335,37,728
364,128,473
562,890,779
960,45,51
460,216,20
329,837,50
533,649,661
382,921,57
806,999,121
763,449,992
701,517,690
428,789,894
543,655,563
388,89,673
607,730,875
562,263,283
596,658,367
725,231,161
428,151,159
305,562,966
937,444,3
235,647,490
885,101,540
82,363,261
672,971,446
522,729,479
45,823,324
897,412,275
949,687,604
12,213,484
634,202,532
986,390,508
829,935,326
282,645,950
212,540,703
319,789,704
173,331,79
193,44,2
860,946,548
117,823,158
459,164,82
239,366,515
389,227,721
270,387,881
326,317,593
863,85,468
294,414,598
343,487,964
545,898,662
527,650,973
350,23,44
452,937,394
566,80,381
345,361,954
373,831,29
978,347,68
339,885,559
286,869,111
625,119,157
876,72,82
853,275,976
857,82,38
164,272,171
497,830,206
756,153,468
985,415,49
760,607,402
441,401,480
440,602,855
699,313,555
952,269,942
926,705,142
33,132,928
653,781,511
516,712,993
114,303,317
577,832,520
853,682,213
290,464,897
602,303,504
621,964,551
23,683,574
291,743,170
86,686,788
960,387,376
318,769,874
576,166,672
650,819,741
804,773,36
605,31,109
410,875,836
807,269,945
362,509,161
187,809,363
5,307,213
986,470,330
908,925,708
531,957,994
347,503,20
215,480,456
908,510,983
484,899,568
344,164,507
265,434,37
985,730,525
763,720,465
269,456,958
481,424,161
469,560,59
368,150,179
635,722,303
341,152,473
238,415,149
352,461,318
583,198,736
776,31,553
460,39,794
704,379,847
821,948,197
590,608,434
329,752,836
86,1,623
795,974,848
74,925,147
258,722,96
852,283,450
929,558,850
415,513,679
992,345,742
237,582,328
330,864,739
678,566,629
18,114,235
234,695,206
466,781,420
877,126,683
57,488,454
438,248,43
748,508,911
13,872,335
718,567,260
682,109,707
555,781,732
6,782,563
654,736,529
686,378,448
789,90,512
581,483,311
137,670,176
595,983,89
413,366,469
677,784,815
465,447,825
318,689,742
300,415,395
754,335,936
840,403,866
948,578,767
309,35,625
846,38,707
85,850,18
617,300,759
949,283,632
93,706,427
501,644,397
580,579,578
91,737,173
21,175,268
547,379,402
614,835,179
829,425,274
549,810,59
525,394,110
232,121,404
4,932,190
161,780,475
810,124,763
475,808,836
800,127,999
448,181,455
100,96,768
715,56,968
336,40,585
118,236,233
53,57,101
201,900,602
422,900,233
269,992,361
376,554,106
679,924,267
534,42,555
496,714,503
31,519,255
605,690,915
595,403,668
824,900,238
573,127,609
823,548,991
267,145,66
104,526,582
618,754,950
69,256,470
930,587,932
72,896,910
10,151,480
533,617,548
452,425,661
471,16,348
319,118,180
683,647,58
609,389,359
108,826,288
453,865,280
523,491,195
366,568,7
837,924,455
495,668,686
365,576,744
155,858,353
77,912,487
811,172,190
284,912,242
839,273,50
849,687,726
954,492,776
262,140,933
618,83,108
68,995,531
859,806,338
801,503,932
570,518,311
412,36,910
86,938,585
363,293,429
105,721,295
422,325,135
879,909,245
866,321,549
94,388,323
837,770,276
981,29,334
596,61,776
216,880,433
827,900,704
331,369,955
343,158,341
25,725,374
352,173,811
748,831,185
462,80,554
756,186,241
670,80,519
89,474,885
235,780,21
850,265,135
172,105,586
596,425,260
712,991,120
824,101,947
747,63,164
534,126,149
328,381,529
97,658,350
695,935,573
646,897,8
985,515,917
792,210,513
232,720,534
272,578,966
110,208,760
151,402,438
656,213,853
890,457,797
718,133,363
937,48,643
142,200,181
631,831,104
955,587,275
499,433,313
560,141,479
773,803,187
344,379,775
923,782,851
811,509,272
954,700,362
337,147,813
96,879,123
177,917,677
837,376,493
493,167,483
14,925,644
305,597,6
897,609,582
146,801,114
177,181,752
354,734,179
270,107,236
84,14,631
378,907,147
575,774,587
323,635,339
383,690,63
269,251,217
744,518,699
39,288,471
656,293,587
232,27,30
317,288,543
642,262,637
184,193,998
353,930,308
692,404,515
826,63,266
244,442,569
100,159,40
637,752,407
829,283,232
11,272,512
488,993,412
629,148,352
770,602,664
699,227,594
815,456,356
321,847,189
892,773,237
456,681,754
415,921,839
780,598,29
848,526,931
552,608,57
3,373,782
549,394,642
190,334,751
529,987,231
781,746,126
957,444,824
718,136,235
488,821,669
52,353,320
790,200,341
71,896,427
558,488,146
828,559,950
870,304,359
599,158,320
936,805,416
781,58,491
28,248,659
544,837,808
107,966,660
707,94,688
346,979,334
853,970,41
801,92,509
927,637,344
41,888,34
551,874,314
358,793,820
936,66,303
340,941,322
909,427,171
239,943,708
790,429,88
877,146,894
694,526,924
920,360,870
641,384,382
112,218,537
731,547,974
337,816,846
14,317,705
312,26,542
320,176,666
586,833,733
526,742,966
46,132,130
592,110,729
368,731,497
740,390,647
769,336,434
490,563,997
674,995,624
806,136,896
687,117,663
74,894,454
548,303,254
842,233,741
78,445,860
404,880,610
359,89,877
223,428,570
331,643,682
82,640,486
438,946,604
985,611,511
100,399,213
243,569,592
175,234,881
598,805,690
786,530,429
323,263,732
988,754,266
961,796,63
5,105,575
272,550,286
590,321,553
137,48,985
729,771,364
820,381,709
737,346,138
400,102,140
694,376,47
804,214,275
820,453,230
414,778,945
410,976,843
315,313,602
72,359,246
441,586,209
870,708,114
279,345,474
381,906,607
488,243,145
505,200,826
593,687,404
16,840,159
809,903,22
375,617,902
185,975,239
770,810,317
81,398,243
115,762,991
222,721,156
917,239,576
126,486,519
764,150,595
521,837,141
61,889,884
210,788,189
59,830,497
304,613,325
820,284,186
441,731,740
77,964,748
454,927,463
609,588,884
293,336,717
677,972,12
567,504,707
519,945,255
298,42,921
363,448,727
281,14,60
253,923,782
737,114,532
459,513,645
397,250,386
22,807,174
237,321,966
826,247,379
540,46,181
775,100,768
56,208,748
188,191,562
872,930,856
841,69,305
325,527,420
18,937,143
446,604,679
45,963,146
385,206,873
747,10,935
271,924,781
502,523,258
726,11,516
298,67,649
992,208,619
367,573,557
242,602,860
901,656,957
418,351,215
7,804,17
102,483,342
341,657,751
438,939,353
21,853,789
453,36,642
79,79,179
586,690,69
969,285,516
359,787,61
781,154,349
83,486,127
734,869,25
83,530,783
377,554,867
417,454,509
717,807,281
232,730,263
113,329,534
722,791,828
372,941,732
97,852,882
681,520,701
793,672,77
152,308,51
322,151,276
292,316,961
553,736,730
153,56,482
204,835,769
618,838,2
351,833,306
253,718,728
771,274,329
243,752,27
692,733,78
766,551,900
416,83,396
668,808,819
120,674,222
823,267,336
628,741,37
307,774,286
484,758,850
612,417,323
860,211,727
62,885,41
908,619,626
422,830,735
264,220,105
805,53,368
891,133,955
579,278,254
659,910,37
864,447,127
336,809,467
813,857,991
867,144,801
483,974,826
745,146,635
37,741,762
296,103,827
115,807,248
144,69,852
958,776,280
12,845,364
867,178,724
568,780,283
931,562,619
700,430,491
257,396,503
344,662,144
28,531,130
466,178,833
363,671,621
124,715,277
878,997,163
135,903,360
9,233,6
343,278,384
921,297,643
759,941,646
964,828,598
727,199,315
704,282,889
592,109,546
12,106,486
380,740,985
272,65,4
292,376,959
188,994,322
134,26,163
16,350,483
20,133,325
492,557,206
479,128,882
100,513,179
17,826,226
352,282,213
166,568,983
947,120,623
287,691,608
412,757,103
355,317,410
640,249,764
707,922,281
265,854,973
386,68,599
990,101,7
401,918,136
291,979,814
660,531,692
654,620,80
257,673,875
299,249,363
493,741,797
571,676,437
239,461,115
758,450,505
95,868,573
179,319,997
888,613,847
173,722,34
405,670,767
514,601,464
7,962,211
4,503,141
782,732,87
627,280,197
321,930,904
802,851,950
438,777,847
264,352,451
414,497,528
231,767,731
530,692,489
876,492,377
202,976,261
923,901,453
80,910,595
158,25,211
968,500,773
327,186,940
377,50,906
642,558,496
3,855,103
712,461,345
985,814,874
933,121,32
661,173,252
273,514,683
580,378,699
746,791,919
888,471,220
363,223,887
825,563,294
350,307,974
191,499,324
369,310,267
969,20,14
690,923,171
529,637,293
137,556,231
173,53,426
234,583,834
861,601,683
323,674,160
141,900,81
549,6,102
672,874,888
833,222,851
497,6,348
819,869,363
804,681,239
351,417,240
118,278,968
560,330,455
391,996,241
979,648,712
620,117,666
639,596,697
286,232,844
975,525,318
908,558,632
482,216,526
801,709,939
109,474,589
116,594,668
924,864,756
980,165,757
353,466,35
742,175,433
790,364,651
377,138,423
977,347,761
549,841,660
2,221,917
668,629,973
129,853,85
418,179,608
188,897,352
798,48,449
340,681,168
830,674,846
183,924,762
642,54,414
798,363,493
761,421,793
267,958,442
519,584,103
231,260,394
659,869,681
154,145,636
58,656,854
850,27,791
783,857,544
782,929,73
656,705,494
559,425,259
817,506,68
83,834,704
343,143,215
168,461,372
194,364,558
717,998,358
307,825,526
207,912,630
255,152,908
59,947,961
164,415,574
203,122,877
610,614,346
397,948,403
68,180,895
466,716,461
931,642,995
179,933,557
886,323,686
125,757,818
323,579,19
764,186,122
24,600,611
112,358,384
619,773,797
164,330,621
621,564,972
645,965,490
597,555,944
180,908,83
123,681,929
286,798,696
629,307,419
589,711,946
817,54,453
655,354,180
691,585,862
203,112,95
470,658,571
921,698,395
20,881,450
570,802,304
837,259,465
976,711,691
746,278,280
966,31,457
843,974,313
584,188,56
919,730,948
862,871,844
199,904,603
941,673,81
642,722,953
701,600,607
623,625,633
510,205,283
682,947,127
737,62,411
8,970,807
472,160,19
868,783,660
964,531,894
183,3,38
913,965,679
469,602,626
648,915,84
497,277,679
878,523,989
225,381,726
709,390,762
415,820,838
359,295,975
900,758,334
171,853,451
703,88,887
893,925,32
620,472,200
782,243,61
666,544,739
624,614,926
738,494,203
482,868,149
96,375,95
356,891,759
310,955,191
966,752,974
149,686,139
326,513,868
602,763,217
453,596,287
159,999,581
137,414,731
842,23,666
903,771,372
692,812,62
315,603,764
508,647,210
367,348,355
698,836,233
799,269,376
949,466,6
976,194,227
995,532,662
754,34,724
382,87,188
784,362,843
625,544,888
760,130,682
661,323,537
969,685,250
290,985,168
147,225,811
418,905,453
547,741,717
615,113,974
664,725,125
972,939,812
766,480,706
687,597,987
803,764,973
172,54,151
847,740,228
678,975,701
950,651,449
954,589,299
709,308,296
946,464,179
894,838,850
346,30,431
512,144,43
900,844,4
99,367,327
381,444,735
604,118,384
465,821,380
882,883,660
411,939,738
542,448,26
920,402,661
973,342,944
786,199,809
874,645,77
678,112,361
291,870,611
926,775,287
562,14,485
139,408,920
763,896,25
995,494,98
454,920,628
172,968,690
748,675,670
184,439,463
36,375,500
362,740,403
798,295,741
521,551,936
698,319,819
157,546,744
898,104,850
506,877,211
649,253,58
577,465,499
885,990,420
618,814,318
448,953,130
363,123,542
67,702,761
267,419,444
635,498,807
267,710,132
399,501,759
319,793,980
494,562,283
995,126,385
951,795,883
827,953,228
582,630,208
92,805,809
373,776,234
354,910,156
264,769,613
323,994,199
922,36,77
658,350,475
124,456,813
797,286,224
284,143,254
402,493,601
768,67,614
358,982,213
836,121,440
973,945,559
310,38,648
143,805,50
377,728,191
388,904,452
781,179,643
664,263,128
367,272,754
237,15,910
301,343,93
385,322,697
933,696,261
417,909,945
928,176,102
210,48,401
996,838,617
915,286,5
147,526,54
366,247,742
230,331,944
989,533,408
751,28,489
283,775,507
594,900,52
321,758,512
568,863,414
2,603,244
207,645,940
557,659,910
580,213,927
903,16,636
266,223,892
917,981,986
984,110,218
803,552,535
943,342,690
421,445,796
142,868,348
445,906,339
788,618,587
301,177,670
367,735,104
625,48,71
984,505,652
463,6,454
658,782,139
651,130,935
596,803,996
317,148,174
730,815,768
213,897,233
396,195,159
822,428,177
926,408,676
807,596,729
868,870,740
723,891,94
639,919,706
99,249,215
123,241,911
474,911,330
383,999,753
803,526,592
489,824,186
243,626,105
764,167,378
279,497,452
100,487,44
375,819,129
297,30,740
804,243,693
952,438,5
401,87,93
696,666,634
170,438,653
346,381,831
820,961,273
6,381,500
263,154,577
800,839,971
213,989,778
911,480,989
286,617,96
40,764,747
502,459,536
267,581,107
945,716,757
236,264,867
123,921,704
101,93,874
873,340,186
481,879,841
273,256,254
157,284,130
804,855,55
996,269,598
594,329,282
10,931,527
413,715,497
436,441,951
574,637,836
453,569,979
373,533,646
890,264,942
337,8,577
586,207,78
345,694,489
727,661,130
341,391,70
137,131,207
303,602,987
470,180,228
524,936,507
749,408,962
435,667,598
781,731,3
900,43,811
767,275,221
989,877,724
317,137,837
994,14,416
855,786,615
563,490,526
992,666,33
919,685,660
652,312,956
972,601,970
485,911,188
93,689,607
527,383,582
78,797,180
498,376,839
591,726,569
475,307,704
533,971,75
285,795,654
37,309,198
549,482,658
445,538,570
818,798,549
128,633,559
859,366,305
366,740,85
761,300,137
315,708,511
735,4,623
197,796,435
407,295,530
81,703,207
1,707,294
826,155,939
682,905,357
717,126,819
607,485,538
600,313,359
60,880,15
713,568,879
572,660,802
455,581,426
961,383,381
138,356,936
85,182,450
229,359,378
71,332,414
893,56,948
638,531,272
49,32,445
604,998,589
767,382,575
890,838,128
74,167,241
177,393,823
353,236,13
349,531,412
271,270,421
273,625,6
167,462,872
833,53,292
577,483,150
987,281,471
594,798,865
703,548,201
366,359,32
276,400,672
628,990,91
878,846,889
954,666,927
262,809,922
945,815,307
616,706,236
909,376,690
533,382,281
126,723,252
347,431,404
404,493,421
919,49,418
541,972,875
550,172,594
51,226,249
947,136,744
517,326,465
916,249,799
281,819,279
547,832,808
867,448,87
125,660,533
373,539,492
288,938,575
793,358,275
714,373,853
428,577,316
627,405,447
636,812,431
533,235,758
223,812,682
113,31,104
666,505,253
651,978,192
640,123,951
505,186,41
307,233,821
508,933,688
657,481,34
743,24,572
458,664,849
840,29,686
746,76,879
875,835,759
893,407,847
810,304,645
104,715,173
1,629,658
870,370,303
338,594,730
873,498,584
374,461,885
521,155,299
273,483,454
306,959,710
127,773,297
881,81,383
483,30,606
501,661,308
697,271,650
49,564,103
953,840,516
567,918,299
968,172,714
796,399,255
179,894,342
865,904,567
141,934,413
132,957,247
276,83,212
293,665,721
289,746,564
857,975,358
14,871,929
245,633,398
437,506,655
194,757,76
25,92,749
393,823,900
414,516,812
24,262,420
980,866,985
561,108,551
68,539,453
689,988,197
669,221,21
261,446,750
376,484,576
275,476,193
565,935,648
553,462,379
459,917,555
125,609,124
896,320,370
501,761,699
352,901,648
867,909,568
855,271,808
457,866,504
375,134,790
385,293,116
176,303,271
183,181,527
326,417,21
850,134,503
984,770,895
605,278,731
774,486,73
246,464,106
409,355,179
605,190,891
927,596,326
520,936,139
282,777,755
921,367,868
173,818,894
803,62,445
2,480,573
953,594,386
185,291,204
679,139,508
92,915,88
782,496,56
182,192,960
931,846,760
22,842,751
351,165,534
305,659,478
556,159,426
171,602,54
800,78,941
623,318,520
540,111,700
704,640,263
7,142,744
74,349,696
733,138,3
681,263,937
959,363,426
819,538,180
364,311,347
115,649,606
619,592,855
444,352,48
119,627,823
60,996,681
200,201,467
946,351,918
745,43,498
514,406,862
410,18,478
978,608,599
713,940,181
505,708,408
189,845,353
981,499,344
336,532,112
578,794,146
10,109,480
904,616,91
303,170,459
478,259,261
769,135,220
185,278,59
871,188,813
52,83,569
947,86,817
464,215,968
26,324,695
823,974,209
608,874,466
221,551,56
585,433,778
14,548,123
448,939,551
200,16,51
552,308,481
555,499,323
131,270,316
387,520,39
308,247,839
229,99,999
688,766,581
774,968,940
893,141,38
57,144,344
74,351,539
715,325,954
482,708,362
430,269,100
955,521,255
837,644,573
958,427,427
436,778,226
828,733,5
843,659,383
208,282,496
700,909,416
574,726,965
686,166,548
98,650,708
470,726,225
12,610,425
248,673,717
287,381,994
607,194,53
296,804,178
493,257,725
595,328,204
378,91,862
764,218,618
447,325,451
688,30,689
574,771,361
418,105,177
325,157,375
649,290,168
462,966,971
238,904,227
950,721,928
228,383,84
57,474,329
775,877,248
675,725,285
665,115,78
924,228,867
752,323,755
985,360,183
651,787,686
301,804,298
469,43,618
529,686,502
674,106,598
182,549,611
583,631,279
808,146,602
354,443,658
581,607,945
949,657,315
246,42,261
297,601,625
789,179,216
600,573,219
663,644,432
518,620,19
964,324,837
193,72,278
636,203,471
327,834,809
830,143,855
229,532,373
734,772,837
509,224,156
786,625,790
907,706,891
215,546,471
778,651,110
98,393,601
418,846,330
592,112,580
370,454,251
96,536,85
268,375,165
848,117,618
651,420,637
176,287,190
338,627,829
718,965,354
672,699,814
546,649,899
434,608,358
496,108,690
541,541,793
340,932,183
462,119,424
234,449,927
800,266,144
772,25,447
956,989,456
766,730,600
291,684,298
841,150,127
407,61,40
476,344,355
628,330,73
204,99,92
542,468,974
867,519,914
278,591,632
523,531,732
760,289,395
634,991,950
190,705,45
899,365,891
803,529,459
725,430,967
552,270,446
699,576,806
272,788,147
10,947,692
640,197,91
834,651,998
747,354,616
535,912,270
818,788,740
926,881,14
691,847,548
530,12,123
235,738,52
462,122,441
565,40,722
357,504,693
731,670,99
743,766,922
437,335,270
91,644,27
475,583,350
763,511,789
542,42,17
380,849,378
178,464,203
872,92,681
648,699,214
438,178,795
924,125,700
893,774,959
16,341,486
414,129,950
896,401,200
784,682,599
478,775,52
932,949,390
461,642,871
276,669,354
346,84,654
848,576,827
133,336,23
186,102,538
567,755,728
293,465,601
149,386,16
312,998,453
215,989,136
522,123,610
84,311,545
189,115,912
144,84,378
650,593,189
547,45,629
15,783,526
202,617,699
998,159,939
653,107,798
756,520,316
817,951,33
661,425,690
811,609,734
457,155,248
814,67,383
738,286,948
395,838,127
263,223,605
84,426,34
211,796,567
383,409,52
199,938,752
356,770,809
910,816,913
4,329,447
398,471,556
215,117,264
812,691,802
328,936,161
206,94,726
158,524,517
560,463,249
713,436,100
127,444,521
980,270,561
626,178,267
396,466,503
638,219,755
668,615,727
978,271,978
42,846,401
984,725,202
262,544,559
989,551,774
45,23,222
548,685,917
738,41,625
104,405,956
903,823,174
420,709,674
845,91,559
391,272,315
734,686,71
245,981,880
964,980,895
473,914,209
813,917,955
180,200,748
431,849,51
675,987,573
975,262,213
17,505,273
333,481,562
754,923,700
130,866,649
937,653,293
464,746,183
593,97,497
439,908,317
114,189,729
956,863,158
81,62,328
827,912,647
916,283,46
27,988,267
280,140,241
825,570,611
345,303,947
981,96,864
728,781,32
154,499,543
297,721,836
634,192,315
51,135,319
220,819,445
474,80,287
974,393,716
115,62,531
264,442,970
640,903,926
361,399,871
248,374,404
515,873,610
805,484,348
440,178,179
750,270,415
707,208,564
652,399,58
695,220,302
3,244,766
91,780,679
355,301,442
123,253,528
54,939,718
899,318,385
60,91,801
64,121,768
242,253,141
180,320,245
380,3,731
144,343,612
382,33,486
307,6,176
481,402,370
545,75,553
655,234,144
120,214,464
799,522,356
575,674,795
528,115,639
17,366,15
533,758,467
477,240,47
526,879,532
376,167,204
820,811,667
553,848,501
587,717,190
440,806,328
984,765,578
725,454,580
749,696,827
705,20,627
243,941,761
761,682,202
581,860,913
379,963,463
616,323,330
52,152,328
332,415,742
75,387,775
722,770,497
616,392,792
432,970,88
108,111,125
8,93,175
819,257,461
401,477,78
47,652,141
228,1,198
480,58,129
91,42,655
248,380,990
633,314,720
86,471,490
401,648,610
640,52,981
193,666,4
680,269,491
943,882,8
570,949,49
672,519,288
923,898,620
152,412,315
830,120,992
563,772,578
988,568,554
126,693,309
114,228,784
889,329,498
622,215,331
895,686,365
226,163,501
987,873,506
197,834,36
536,253,936
866,266,453
252,536,323
165,900,573
356,776,154
382,233,379
401,801,438
